phrasalVerb,definition
abide by,"to follow a rule, decision, or instruction"
accord with,to agree with or be the same as something else
account for,"if someone is accounted for, you know where they are and so do not worry that they are not where they should be"
account for,to be the reason why something exists or happens
account for,"to form, use, or produce a particular amount or part of a group of people or things"
account for,"to give an explanation for something bad that has happened, especially something that you are responsible for"
account for,"to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"
account for,used for saying that you think what someone likes is strange
ache for,to want something or someone very much
act as,to do the job of a particular kind of person or thing
act on,"to do something because you have been given information, advice, or orders"
act out,to do something that you have planned or had previously only thought of doing
act out,to express your thoughts or feelings through your words or behaviour
act out,to show the events that happened in a situation by doing them again or by doing the same things as the people involved
act up,"if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"
act up,"if children act up, they behave badly"
act upon,affect
act upon,to take action because of something like information received
add in,to include something as part of something else
add on,to build an extra part onto a building
add on,to include an extra thing or amount in something
add on to,to build an extra part onto a building
add to,to make an amount or number greater by adding another amount or number
add to,to make something such as a feeling or a quality greater or more extreme
add up,"if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have"
add up,"if small amounts add up, they gradually produce a large total"
add up,to calculate the total of several numbers or amounts
add up to,"if separate amounts add up to a total amount, together they form that total"
add up to,to combine to produce a particular result or effect
adhere to,"to obey a rule, law, agreement etc"
adhere to,"to support or believe in an idea, plan, opinion etc"
adjourn to,to leave one place and move to another
admit of,to show that something is possible
agree with,"if a situation or way of living agrees with you, you enjoy it and feel happy and relaxed"
agree with,"if something such as food or drink agrees with you, it does not make you feel ill"
agree with,to think that something is the right thing to do
agree with,"when a verb group changes according to whether its subject is singular or plural. In English, this affects only the simple present, which adds an ‘s’ to the infinitive in the third person singular: ‘I want’ but ‘she wants’. The verbs ‘be’, ‘have’, and ‘do’ are irregular: ‘I am’, ‘you are’, ‘she is’; ‘I have’, ‘she has’; and ‘I do’, ‘she does’. In the sentences ‘A thorough search was carried out’, ‘It doesn’t matter’, and ‘The course has given me more confidence’, the verb groups ‘was carried out’, ‘doesn’t matter’, and ‘has given’ all agree with their subjects."
aim at,intend to achieve
aim at,to target
alight on,to suddenly notice or think of something
allow for,to consider something when making a plan or calculation
allow of,to show that something is possible
angle for,to try to make someone give you something without asking for it directly
answer back,to reply rudely to someone who has more authority than you
answer for,to agree to be responsible for something
answer for,to be responsible for a lot of bad things that have happened
answer for,used for emphasizing that you cannot say what someone else will do or think about something
answer to,"if an animal answers to the name of something, it comes to you when you call it this name"
answer to,to have a particular name
answer to,to have to explain to someone why you did something
argue down,"beat someone in a debate, discussion or argument"
argue down,persuade someone to drop the price of something they're selling
argue down,"try to persuade people not to accept a proposition, motion, etc"
argue out,argue about a problem to find a solution
arrive at,"to reach a result, decision, or solution to a problem"
ask about,"ask how someone is doing, especially professionally and in terms of health"
ask after,to ask for news about someone
ask around,to ask several people for information or advice
ask for,to behave in a way that makes it likely that a particular unpleasant thing will happen to you
ask for,to say that you want someone to come and speak to you
ask for,to speak or write to someone because you want them to give you something
ask for,used for emphasizing that something is so good that nothing could be better
ask in,to invite somebody into your house
ask out,"to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
ask over,invite
ask round,invite someone
associate with,to say publicly that you support someone or agree with something
associate with,to spend time with someone
attend to,to deal with something or someone
attend to,"to serve a customer in a shop, restaurant etc"
auction off,sell something in an auction
average out,to calculate the average of a set of numbers or amounts
average out,to have a particular number or amount as an average
awaken to,"to begin to notice something, or to make someone begin to notice something, especially danger"
back away,to gradually become less involved in something
back away,"to move away backwards from someone, for example because you are afraid"
back down,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
back into,enter a parking area in reverse gear
back off,to move backwards in order to get further away from something
back off,to stop criticizing someone or telling them what to do
back onto,"if a building, garden etc backs onto a place, that place is directly behind it"
back out,to decide not to do something you agreed to do
back out of,to decide not to do something you agreed to do
back up,"if a system backs up, or if it is backed up, it has slowed down or stopped working because there is too much of something for it to deal with"
back up,"if a toilet, sink, or drain backs up, or if it is backed up, water cannot flow through it because something is blocking it"
back up,"if traffic backs up, or if it is backed up, the vehicles are in a long line and waiting to continue moving"
back up,to give support to someone by telling other people that you agree with them
back up,to make a car go backwards
back up,to make a copy of information on your computer
back up,to move backwards a short distance
back up,to show that an explanation or belief is probably true
back up,used for telling someone to return to something that was said earlier
bag out,criticise
bag up,same as bag
bail out,to empty water from a boat using a small container
bail out,to escape from a plane by parachute
bail out,to give money to a court when someone is allowed to stay out of prison while they wait for their trial
bail out,"to help a person or organization that is having problems, especially financial problems"
bail out,"to leave a project, situation, or relationship, especially when it becomes difficult"
bail out of,to empty water from a boat using a small container
bail out of,to escape from a plane by parachute
bail out of,to give money to a court when someone is allowed to stay out of prison while they wait for their trial
bail out of,"to help a person or organization that is having problems, especially financial problems"
bail out of,"to leave a project, situation, or relationship, especially when it becomes difficult"
bail out on,stop supporting someone when they are in trouble
bail up,rob someone at gunpoint
bail up,talk to someone and delay them
balance out,same as balance
balance up,to make two different things equal in amount or value
bale out,to bail out of a difficult situation
bale out,to bail out of a plane
ball up,confuse or make things complicated
ball up,roll or form into a round shape
balls up,to do something very badly and make a lot of mistakes
band together,to come together as a group in order to achieve something
bang about,move in a place making a lot of noise
bang around,move in a place making a lot of noise
bang on,to talk about something for a long time in a boring and annoying way
bang on about,to talk about something for a long time in a boring and annoying way
bang out,to play a tune on the piano very loudly and not very well
bang out,to produce something of bad quality in large quantities
bang up,to damage something such as a vehicle
bang up,to put someone in prison
bank in,to pay money into a bank
bank on,to depend on something happening or on someone doing something
bank up,to make something into a pile
bank up,to put a lot of coal onto a fire so that it will burn slowly and for a long time
bargain down,persuade someone to drop the price of something they're selling
